group,run,seed,noise_family,attack_budget,noise_rate,circuit_path,clean_fidelity,attacked_mean,attacked_std,attacked_min,attacked_max,n_attacks_evaluated
adversarial,adversarial,seed_0,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_0/circuit_robust.json,0.9999999403953551,0.9816334148248035,0.008634231483840706,0.9755280911922454,0.9938440620899198,3
adversarial,adversarial,seed_0,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_0/circuit_robust.json,0.9999999403953551,0.941995390823909,0.04502237033152434,0.8535531163215635,0.9938440620899198,7
adversarial,adversarial,seed_1,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.9293516774972278,0.021807273542819677,0.9027776122093197,0.9666665196418761,6
adversarial,adversarial,seed_1,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.8450479485639711,0.05066073476547262,0.7641371488571166,0.9666665196418761,41
adversarial,adversarial,seed_1,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.9815357029438018,0.022095170911431043,0.9506248831748961,0.9999999403953551,6
adversarial,adversarial,seed_1,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.9576566313825001,0.029810911505711243,0.8963911235332487,0.9999999403953551,41
adversarial,adversarial,seed_1,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.9908166478077569,0.011027544816389338,0.9755280911922454,0.9999998807907102,6
adversarial,adversarial,seed_1,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_1/circuit_robust.json,0.9999999403953551,0.9670709277071602,0.03344929932782585,0.8535531163215635,0.9999998807907102,41
adversarial,adversarial,seed_2,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.9412220716476438,0.03116345242336065,0.9027776122093197,0.9666665196418761,5
adversarial,adversarial,seed_2,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.8765110099315641,0.05228699405149058,0.7898833155632019,0.9666665196418761,25
adversarial,adversarial,seed_2,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.977842855453491,0.022450237361913466,0.9506248831748961,0.9999999403953551,5
adversarial,adversarial,seed_2,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.9524208533763883,0.029887553571940177,0.8963911235332487,0.9999999403953551,25
adversarial,adversarial,seed_2,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.9889800012111662,0.011211086891482105,0.9755280911922454,0.9999998807907102,5
adversarial,adversarial,seed_2,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_2/circuit_robust.json,0.9999999403953551,0.9607878398895262,0.03640054755835826,0.8535531163215635,0.9999998807907102,25
adversarial,adversarial,seed_3,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.9293516774972278,0.02180727354281967,0.9027776122093197,0.9666665196418761,6
adversarial,adversarial,seed_3,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.8447439023634282,0.05074832174850253,0.7645587027072905,0.9666665196418761,41
adversarial,adversarial,seed_3,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.9815357029438018,0.022095170911431043,0.9506248831748961,0.9999999403953551,6
adversarial,adversarial,seed_3,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.9576566313825001,0.029810911505711243,0.8963911235332487,0.9999999403953551,41
adversarial,adversarial,seed_3,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.9908166478077569,0.011027544816389338,0.9755280911922454,0.9999998807907102,6
adversarial,adversarial,seed_3,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_3/circuit_robust.json,0.9999999403953551,0.9670709277071602,0.03344929932782585,0.8535531163215635,0.9999998807907102,41
adversarial,adversarial,seed_4,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9268053919076916,0.026341698087758266,0.9027776122093197,0.9666665196418761,4
adversarial,adversarial,seed_4,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.8610919990709849,0.05521344303208356,0.7645587027072905,0.9666665196418761,14
adversarial,adversarial,seed_4,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9723035842180251,0.021831143302802843,0.9506248831748961,0.9999999403953551,4
adversarial,adversarial,seed_4,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9461667899574551,0.02964902656920947,0.8963911235332487,0.9999999403953551,14
adversarial,adversarial,seed_4,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9862250164151191,0.010916083568751813,0.9755280911922454,0.9999998211860656,4
adversarial,adversarial,seed_4,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9524558314255305,0.039989962187532924,0.8535531163215635,0.9999998211860656,14
adversarial,compare,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.9242591063181557,0.029987427304036845,0.9027776122093197,0.9666665196418761,3
adversarial,compare,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.8755213831152233,0.053987464598577256,0.7912706434726713,0.9666665196418761,7
adversarial,compare,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.9630714654922484,0.01716208104735569,0.9506248831748961,0.9873396307229994,3
adversarial,compare,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.9387661601815903,0.02818275214409403,0.8963911235332487,0.9873396307229994,7
adversarial,compare,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.9816334148248035,0.008634231483840706,0.9755280911922454,0.9938440620899198,3
adversarial,compare,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_0/circuit_robust.json,0.9999999403953551,0.941995390823909,0.04502237033152434,0.8535531163215635,0.9938440620899198,7
adversarial,compare,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.9293516774972278,0.021807273542819677,0.9027776122093197,0.9666665196418761,6
adversarial,compare,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.8450479485639711,0.05066073476547262,0.7641371488571166,0.9666665196418761,41
adversarial,compare,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.9815357029438018,0.022095170911431043,0.9506248831748961,0.9999999403953551,6
adversarial,compare,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.9576566313825001,0.029810911505711243,0.8963911235332487,0.9999999403953551,41
adversarial,compare,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.9908166478077569,0.011027544816389338,0.9755280911922454,0.9999998807907102,6
adversarial,compare,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_1/circuit_robust.json,0.9999999403953551,0.9670709277071602,0.03344929932782585,0.8535531163215635,0.9999998807907102,41
adversarial,compare,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.9412220716476438,0.03116345242336065,0.9027776122093197,0.9666665196418761,5
adversarial,compare,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.8765110099315641,0.05228699405149058,0.7898833155632019,0.9666665196418761,25
adversarial,compare,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.977842855453491,0.022450237361913466,0.9506248831748961,0.9999999403953551,5
adversarial,compare,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.9524208533763883,0.029887553571940177,0.8963911235332487,0.9999999403953551,25
adversarial,compare,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.9889800012111662,0.011211086891482105,0.9755280911922454,0.9999998807907102,5
adversarial,compare,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_2/circuit_robust.json,0.9999999403953551,0.9607878398895262,0.03640054755835826,0.8535531163215635,0.9999998807907102,25
adversarial,compare,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.9293516774972278,0.02180727354281967,0.9027776122093197,0.9666665196418761,6
adversarial,compare,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.8447439023634282,0.05074832174850253,0.7645587027072905,0.9666665196418761,41
adversarial,compare,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.9815357029438018,0.022095170911431043,0.9506248831748961,0.9999999403953551,6
adversarial,compare,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.9576566313825001,0.029810911505711243,0.8963911235332487,0.9999999403953551,41
adversarial,compare,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.9908166478077569,0.011027544816389338,0.9755280911922454,0.9999998807907102,6
adversarial,compare,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_3/circuit_robust.json,0.9999999403953551,0.9670709277071602,0.03344929932782585,0.8535531163215635,0.9999998807907102,41
adversarial,compare,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.9268053919076916,0.026341698087758266,0.9027776122093197,0.9666665196418761,4
adversarial,compare,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.8610919990709849,0.05521344303208356,0.7645587027072905,0.9666665196418761,14
adversarial,compare,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.9723035842180251,0.021831143302802843,0.9506248831748961,0.9999999403953551,4
adversarial,compare,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.9461667899574551,0.02964902656920947,0.8963911235332487,0.9999999403953551,14
adversarial,compare,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.9862250164151191,0.010916083568751813,0.9755280911922454,0.9999998211860656,4
adversarial,compare,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/compare/run_4/circuit_robust.json,0.9999999403953551,0.9524558314255305,0.039989962187532924,0.8535531163215635,0.9999998211860656,14
architect_baseline,baseline,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.9325345344841478,0.016785426621866224,0.9027776122093197,0.9666665196418761,16
architect_baseline,baseline,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.8256135668562746,0.035309006194151206,0.7523330152034758,0.9666665196418761,696
architect_baseline,baseline,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.989930812269449,0.016990131436611853,0.9506248831748961,0.9999999403953551,16
architect_baseline,baseline,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.9724084151501969,0.026187496651450884,0.8845161199569701,0.9999999403953551,696
architect_baseline,baseline,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.9957866836339233,0.008013286884494578,0.9755280911922454,0.9999998807907102,16
architect_baseline,baseline,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/baseline/circuit_vanilla.json,0.9999999403953551,0.9834278877610447,0.02285519315362897,0.8535530865192412,0.9999998807907102,696
quantumnas,quantumnas,,depolarizing,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.94798799653848,0.023210664400129886,0.9027775675058363,0.966666594147682,15
quantumnas,quantumnas,,depolarizing,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.8642470186948776,0.039172349956432706,0.7571094334125517,0.966666594147682,575
quantumnas,quantumnas,,amplitude_damping,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.976302467783292,0.019659465209444484,0.9397142827510833,0.9999998658895493,15
quantumnas,quantumnas,,amplitude_damping,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.9363043636601904,0.031026654994251005,0.8489677459001539,0.9999998658895493,575
quantumnas,quantumnas,,coherent_overrotation,1,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.9929092019796371,0.0073895061591733105,0.9755280762910841,0.9999998807907102,15
quantumnas,quantumnas,,coherent_overrotation,3,0.05,/home/gp.sc.cc.tohoku.ac.jp/jesus/AA/work_dir/quantum-arch-search/results/3/quantumnas/circuit_quantumnas.json,0.9999998658895493,0.9776368857207506,0.019389469526361457,0.8535531610250472,0.9999998807907102,575
